ID,Time Stamp,Region,Latitude,Longitude,Risk-Level
0,03-28-2020,Acton,34.4807415,-118.1868379,0
1,03-28-2020,Adams-Normandie,34.0317877,-118.3002466,2
2,03-28-2020,Agoura Hills,34.14791,-118.76570420000002,1
3,03-28-2020,Agua Dulce,34.4963817,-118.3256348,0
4,03-28-2020,Alhambra,34.093042,-118.12706,1
5,03-28-2020,Alsace,33.9879995,-118.3476199,0
6,03-28-2020,Altadena,34.1863161,-118.13523290000002,1
7,03-28-2020,Anaverde,34.569331299999995,-118.1630709,0
8,03-28-2020,Angeles National Forest,34.3216546,-118.019201,0
9,03-28-2020,Angelino Heights,34.070288899999994,-118.2547965,0
10,03-28-2020,Arcadia,34.136207500000005,-118.0401497,0
11,03-28-2020,Arleta,34.2413266,-118.4322047,1
12,03-28-2020,Artesia,33.8690197,-118.0796195,0
13,03-28-2020,Athens,33.920407,-118.2790494,0
14,03-28-2020,Athens Village,33.920407,-118.2790494,0
15,03-28-2020,Atwater Village,34.1163979,-118.2564637,0
16,03-28-2020,Avalon,33.342209999999994,-118.3272612,0
17,03-28-2020,Avocado Heights,34.04097460000001,-117.99700959999998,0
18,03-28-2020,Azusa,34.1338751,-117.9056046,0
19,03-28-2020,Baldwin Hills,34.01098870000001,-118.3370709,2
20,03-28-2020,Baldwin Park,34.0854739,-117.9611761,1
21,03-28-2020,Bandini Islands,34.008658000000004,-118.216304,0
22,03-28-2020,Bassett,34.049732299999995,-117.9967323,0
23,03-28-2020,Bel Air,34.0827278,-118.44798020000002,2
24,03-28-2020,Bell,33.9747806,-118.1866361,1
25,03-28-2020,Bell Gardens,33.9694561,-118.1503953,1
26,03-28-2020,Bellflower,33.8825705,-118.1167679,1
27,03-28-2020,Beverly Crest,34.1167701,-118.4322607,2
28,03-28-2020,Beverly Hills,34.0696501,-118.3963062,0
29,03-28-2020,Beverlywood,34.0466335,-118.395038,1
30,03-28-2020,Bouquet Canyon,34.5770311,-118.3859379,0
31,03-28-2020,Boyle Heights,34.0436892,-118.20976840000002,2
32,03-28-2020,Bradbury,34.1469511,-117.9708982,0
33,03-28-2020,Brentwood,34.0521403,-118.4740699,1
34,03-28-2020,Brookside,34.0536909,-118.2427666,0
35,03-28-2020,Burbank,34.181648200000005,-118.3258554,3
36,03-28-2020,Cadillac-Corning,33.973951,-118.248405,0
37,03-28-2020,Calabasas,34.144664299999995,-118.6440973,0
38,03-28-2020,Canoga Park,34.2010776,-118.5978259,2
39,03-28-2020,Canyon Country,34.42332929999999,-118.4720281,0
40,03-28-2020,Carson,33.832204299999994,-118.2517547,3
41,03-28-2020,Carthay,34.0611213,-118.3672997,3
42,03-28-2020,Castaic,34.488882200000006,-118.6228656,0
43,03-28-2020,Central,34.0536909,-118.2427666,1
44,03-28-2020,Century City,34.0574263,-118.4147267,2
45,03-28-2020,Century Palms/Cove,34.062844,-118.415813,2
46,03-28-2020,Cerritos,33.8644291,-118.0539323,0
47,03-28-2020,Charter Oak,34.1002646,-117.8725953,0
48,03-28-2020,Chatsworth,34.2595715,-118.6023247,3
49,03-28-2020,Cheviot Hills,34.0405878,-118.4098875,3
50,03-28-2020,Chinatown,34.0638402,-118.2358676,0
51,03-28-2020,Claremont,34.0966764,-117.7197785,0
52,03-28-2020,Cloverdale/Cochran,34.062323,-118.346155,1
53,03-28-2020,Commerce,34.002581,-118.156586,0
54,03-28-2020,Compton,33.894927,-118.226624,3
55,03-28-2020,Country Club Park,34.050289,-118.3211871,2
56,03-28-2020,Covina,34.1024,-117.854865,1
57,03-28-2020,Covina (Charter Oak),34.0994225,-117.8642846,0
58,03-28-2020,Crenshaw District,34.0611479,-118.3194219,1
59,03-28-2020,Crestview,34.0621851,-118.4250119,2
60,03-28-2020,Cudahy,33.9620584,-118.1835395,2
61,03-28-2020,Culver City,34.0211224,-118.3964665,3
62,03-28-2020,Del Aire,33.9232739,-118.3747023,0
63,03-28-2020,Del Rey,33.9896527,-118.4243437,0
64,03-28-2020,Del Sur,34.6897069,-118.2886882,0
65,03-28-2020,Desert View Highlands,34.5899777,-118.153456,0
66,03-28-2020,Diamond Bar,34.02862260000001,-117.8103367,1
67,03-28-2020,Downey,33.942215000000004,-118.1235646,3
