ID,Time Stamp,Region,Latitude,Longitude,Risk-Level
0,04-9-2020,Acton,34.4807415,-118.1868379,0
1,04-9-2020,Adams-Normandie,34.0317877,-118.3002466,0
2,04-9-2020,Agoura Hills,34.14791,-118.76570420000002,0
3,04-9-2020,Agua Dulce,34.4963817,-118.3256348,0
4,04-9-2020,Alhambra,34.093042,-118.12706,2
5,04-9-2020,Alsace,33.9879995,-118.3476199,1
6,04-9-2020,Altadena,34.1863161,-118.13523290000002,0
7,04-9-2020,Anaverde,34.569331299999995,-118.1630709,0
8,04-9-2020,Angeles National Forest,34.3216546,-118.019201,0
9,04-9-2020,Angelino Heights,34.070288899999994,-118.2547965,0
10,04-9-2020,Arcadia,34.136207500000005,-118.0401497,0
11,04-9-2020,Arleta,34.2413266,-118.4322047,1
12,04-9-2020,Artesia,33.8690197,-118.0796195,0
13,04-9-2020,Athens,33.920407,-118.2790494,1
14,04-9-2020,Athens Village,33.920407,-118.2790494,1
15,04-9-2020,Atwater Village,34.1163979,-118.2564637,0
16,04-9-2020,Avalon,33.342209999999994,-118.3272612,0
17,04-9-2020,Avocado Heights,34.04097460000001,-117.99700959999998,0
18,04-9-2020,Azusa,34.1338751,-117.9056046,0
19,04-9-2020,Baldwin Hills,34.01098870000001,-118.3370709,1
20,04-9-2020,Baldwin Park,34.0854739,-117.9611761,3
21,04-9-2020,Bandini Islands,34.008658000000004,-118.216304,0
22,04-9-2020,Bassett,34.049732299999995,-117.9967323,1
23,04-9-2020,Bel Air,34.0827278,-118.44798020000002,0
24,04-9-2020,Bell,33.9747806,-118.1866361,1
25,04-9-2020,Bell Gardens,33.9694561,-118.1503953,3
26,04-9-2020,Bellflower,33.8825705,-118.1167679,1
27,04-9-2020,Beverly Crest,34.1167701,-118.4322607,0
28,04-9-2020,Beverly Hills,34.0696501,-118.3963062,0
29,04-9-2020,Beverlywood,34.0466335,-118.395038,1
30,04-9-2020,Bouquet Canyon,34.5770311,-118.3859379,0
31,04-9-2020,Boyle Heights,34.0436892,-118.20976840000002,1
32,04-9-2020,Bradbury,34.1469511,-117.9708982,0
33,04-9-2020,Brentwood,34.0521403,-118.4740699,0
34,04-9-2020,Brookside,34.0536909,-118.2427666,0
35,04-9-2020,Burbank,34.181648200000005,-118.3258554,2
