Time Stamp,Region,Latitude,Longitude,Risk-Level
1/1/21,Acton,34.4807415,-118.1868379,3
1/1/21,Adams-Normandie,34.0317877,-118.3002466,3
1/1/21,Agoura Hills,34.14791,-118.7657042,0
1/1/21,Alhambra,34.093042,-118.12706,3
1/1/21,Alsace,33.9879995,-118.3476199,3
1/1/21,Altadena,34.1863161,-118.1352329,3
1/1/21,Angeles National Forest,34.3216546,-118.019201,0
1/1/21,Angelino Heights,34.0702889,-118.2547965,1
1/1/21,Arcadia,34.1362075,-118.0401497,3
1/1/21,Arleta,34.2413266,-118.4322047,3
1/1/21,Artesia,33.8690197,-118.0796195,3
1/1/21,Atwater Village,34.1163979,-118.2564637,3
1/1/21,Avalon,33.34221,-118.3272612,0
1/1/21,Azusa,34.1338751,-117.9056046,3
1/1/21,Baldwin Hills,34.0109887,-118.3370709,3
1/1/21,Baldwin Park,34.0854739,-117.9611761,3
1/1/21,Bel Air,34.0827278,-118.4479802,2
1/1/21,Bell,33.9747806,-118.1866361,3
1/1/21,Bell Gardens,33.9694561,-118.1503953,3
1/1/21,Bellflower,33.8825705,-118.1167679,3
1/1/21,Beverly Crest,34.1167701,-118.4322607,2
1/1/21,Beverly Hills,34.0696501,-118.3963062,3
1/1/21,Beverlywood,34.0459334,-118.39492,3
1/1/21,Boyle Heights,34.0436892,-118.2097684,3
1/1/21,Bradbury,34.1469511,-117.9708982,0
1/1/21,Brentwood,34.0521403,-118.4740699,0
1/1/21,Brookside,34.0536909,-118.2427666,1
1/1/21,Burbank,34.1816482,-118.3258554,3
1/1/21,Cadillac-Corning,33.973951,-118.248405,3
1/1/21,Calabasas,34.1446643,-118.6440973,3
1/1/21,Canoga Park,34.2010776,-118.5978259,3
1/1/21,Canyon Country,34.4233293,-118.4720281,1
1/1/21,Carson,33.8322043,-118.2517547,2
1/1/21,Carthay,34.0611213,-118.3672997,3
1/1/21,Castaic,34.4888822,-118.6228656,3
1/1/21,Central,34.0536909,-118.2427666,3
1/1/21,Century City,34.0574263,-118.4147267,1
1/1/21,Century Palms/Cove,34.062844,-118.415813,3
1/1/21,Cerritos,33.8644291,-118.0539323,1
1/1/21,Chatsworth,34.2595715,-118.6023247,3
1/1/21,Cheviot Hills,34.0405878,-118.4098875,3
1/1/21,Chinatown,34.0638402,-118.2358676,3
1/1/21,Claremont,34.0966764,-117.7197785,0
1/1/21,Cloverdale/Cochran,34.062323,-118.346155,3
1/1/21,Commerce,34.002581,-118.156586,3
1/1/21,Compton,33.894927,-118.226624,3
1/1/21,Country Club Park,34.050289,-118.3211871,3
1/1/21,Covina,34.1024,-117.854865,0
1/1/21,Crenshaw District,34.0611479,-118.3194219,3
1/1/21,Crestview,34.0621851,-118.4250119,3
1/1/21,Cudahy,33.9620584,-118.1835395,3
1/1/21,Culver City,34.0211224,-118.3964665,2
1/1/21,Del Rey,33.9896527,-118.4243437,3
1/1/21,Diamond Bar,34.0286226,-117.8103367,3
1/1/21,Downey,33.942215,-118.1235646,3
1/1/21,Downtown,34.0428494,-118.2476732,3
1/1/21,Duarte,34.1394513,-117.9772873,3
1/1/21,Eagle Rock,34.1366877,-118.2076796,3
1/1/21,East Hollywood,34.0904277,-118.2966254,3
1/1/21,East Los Angeles,34.0239015,-118.1720157,3
1/1/21,Echo Park,34.0779819,-118.2567824,3
1/1/21,El Monte,34.0751571,-118.036849,2
1/1/21,El Segundo,33.917028,-118.4156337,2
1/1/21,El Sereno,34.0811213,-118.1778495,3
1/1/21,Elysian Park,34.0774343,-118.2386204,3
1/1/21,Elysian Valley,34.0959128,-118.2420326,3
1/1/21,Encino,34.1591324,-118.5016166,3
1/1/21,Exposition,34.013654,-118.2872106,3
1/1/21,Exposition Park,34.013654,-118.2872106,3
1/1/21,Faircrest Heights,33.275839,-96.991881,2
1/1/21,Figueroa Park Square,34.065295,-118.244762,3
1/1/21,Florence-Firestone,33.9674263,-118.2433068,3
1/1/21,Gardena,33.8963593,-118.3053037,3
1/1/21,Glassell Park,34.1161201,-118.2289627,3
1/1/21,Glendale,34.1469416,-118.2478471,3
1/1/21,Glendora,34.1361187,-117.865339,1
1/1/21,Gramercy Place,33.8677941,-118.3135464,3
1/1/21,Granada Hills,34.2661558,-118.5174342,3
1/1/21,Green Meadows,33.9409877,-118.2629968,3
1/1/21,Hacienda Heights,33.9930677,-117.9686755,3
1/1/21,Hancock Park,34.0677881,-118.3325765,3
1/1/21,Harbor City,33.7911012,-118.3012604,3
1/1/21,Harbor Gateway,33.8542249,-118.2992198,0
1/1/21,Harbor Pines,33.7825681,-118.3069302,0
1/1/21,Harvard Heights,34.0471105,-118.3054828,3
1/1/21,Harvard Park,33.9839471,-118.3046228,3
1/1/21,Hawaiian Gardens,33.8284787,-118.0743137,3
1/1/21,Hawthorne,33.9188589,-118.3483256,1
1/1/21,Hermosa Beach,33.86428,-118.39591,3
1/1/21,Hidden Hills,34.164091,-118.657837,1
1/1/21,Highland Park,34.1099469,-118.1969828,3
1/1/21,Historic Filipinotown,34.88298,-114.7569,3
1/1/21,Hollywood,34.0980031,-118.3295232,3
1/1/21,Hollywood Hills,34.1311792,-118.3355474,2
1/1/21,Huntington Park,33.9827043,-118.2120343,3
1/1/21,Hyde Park,33.9805691,-118.3306308,3
1/1/21,Industry,34.0197335,-117.9586754,2
1/1/21,Inglewood,33.9562003,-118.353132,3
1/1/21,Irwindale,34.1069927,-117.9342148,2
1/1/21,Jefferson Park,34.0272344,-118.3175756,3
1/1/21,Koreatown,34.0580134,-118.3008095,3
1/1/21,La Canada Flintridge,34.1998302,-118.2005236,3
1/1/21,La Habra Heights,33.9604546,-117.9504255,0
1/1/21,La Mirada,33.9060971,-118.0107092,2
1/1/21,La Puente,34.01979,-117.9503677,3
1/1/21,La Verne,34.1008426,-117.7678355,2
1/1/21,Lafayette Square,34.046406,-118.33379,2
1/1/21,Lake Balboa,34.1811656,-118.495236,3
1/1/21,Lake Los Angeles,34.6127395,-117.8403955,1
1/1/21,Lakeview Terrace,34.1396617,-117.8986251,3
1/1/21,Lakewood,33.8503463,-118.1171914,0
1/1/21,Lancaster,34.6981064,-118.1366153,0
1/1/21,Lawndale,33.8885217,-118.3531991,3
1/1/21,Leimert Park,34.007702,-118.3320627,3
1/1/21,Lincoln Heights,34.0812482,-118.2034419,3
1/1/21,Little Armenia,34.0981716,-118.3044966,2
1/1/21,Little Bangladesh,34.056179,-118.271908,3
1/1/21,Little Tokyo,34.0482168,-118.2411814,3
1/1/21,Lomita,33.8036545,-118.3195014,0
1/1/21,Longwood,33.973537,-118.4263953,2
1/1/21,Los Feliz,34.1100408,-118.2889236,3
1/1/21,Lynwood,33.924831,-118.2024154,3
1/1/21,Malibu,34.035591,-118.689423,1
1/1/21,Manchester Square,33.966374,-118.3133775,3
1/1/21,Mandeville Canyon,34.0610395,-118.4949801,1
1/1/21,Manhattan Beach,33.8915985,-118.3951241,3
1/1/21,Mar Vista,34.0037605,-118.4391641,3
1/1/21,Marina Peninsula,33.7487127,-118.1227115,0
1/1/21,Maywood,33.9866807,-118.185349,3
1/1/21,Melrose,34.0536909,-118.2427666,3
1/1/21,Mid-city,34.0415271,-118.3603703,3
