,Time Stamp,Region,Latitude,Longitude,Risk-Score,Risk-Level
72,03-18-2020,Alhambra,34.093042,-118.12706000000001,0.19069414973011514,1
73,03-18-2020,Arcadia,34.136207500000005,-118.0401497,0.0,0
74,03-18-2020,Baldwin Hills,34.01098870000001,-118.3370709,0.1565179954999168,1
75,03-18-2020,Beverly Hills,34.0696501,-118.3963062,0.0,0
76,03-18-2020,Boyle Heights,34.0436892,-118.20976840000002,0.0,0
77,03-18-2020,Brentwood,34.0521403,-118.4740699,0.0,0
78,03-18-2020,Carson,33.832204299999994,-118.2517547,0.4013139873566534,1
79,03-18-2020,Century Palms/Cove,34.062844,-118.41581299999999,0.23312590949892534,1
80,03-18-2020,Culver City,34.021122399999996,-118.3964665,0.0,0
81,03-18-2020,Diamond Bar,34.02862260000001,-117.81033670000001,0.0,0
82,03-18-2020,Eagle Rock,34.1366877,-118.20767959999999,0.0,0
83,03-18-2020,Encino,34.1591324,-118.50161659999999,0.17277457406703292,1
84,03-18-2020,Gardena,33.8963593,-118.3053037,0.0,0
85,03-18-2020,Glendale,34.146941600000005,-118.24784709999999,0.05678769537793339,0
86,03-18-2020,Granada Hills,34.26615579999999,-118.5174342,0.0,0
87,03-18-2020,Hollywood,34.0980031,-118.32952320000001,1.5798757117767581,2
88,03-18-2020,Hollywood Hills,34.1311792,-118.33554740000001,0.20485302027725177,1
89,03-18-2020,Inglewood,33.9562003,-118.353132,0.1554510396170645,1
90,03-18-2020,La Mirada,33.906097100000004,-118.0107092,0.0,0
91,03-18-2020,Lynwood,33.924831,-118.2024154,0.04596530047855175,0
92,03-18-2020,Manhattan Beach,33.8915985,-118.39512409999999,0.0,0
93,03-18-2020,Mar Vista,34.0037605,-118.43916409999999,0.5186092976466243,1
94,03-18-2020,Melrose,34.0536909,-118.2427666,2.5932832901819425,3
95,03-18-2020,Monterey Park,34.051522,-118.129807,0.21581822078473878,1
96,03-18-2020,North Hollywood,34.1729044,-118.37403710000001,0.654256585391203,1
97,03-18-2020,Northridge,34.2345615,-118.53693159999999,0.0,0
98,03-18-2020,Reseda,34.200078399999995,-118.53698840000001,0.21897937738631126,1
99,03-18-2020,San Dimas,34.1066756,-117.8067257,0.0,0
100,03-18-2020,San Pedro,33.7358518,-118.2922934,0.0,0
101,03-18-2020,Santa Clarita,34.3916641,-118.54258600000001,0.3326680872779936,1
102,03-18-2020,Santa Monica,34.019470399999996,-118.4912273,0.7238820690579577,1
103,03-18-2020,Sherman Oaks,34.1508718,-118.4489865,0.21281366864827225,1
104,03-18-2020,Silverlake,34.092940999999996,-118.2697155,0.5730072516039092,1
105,03-18-2020,Sylmar,34.307625200000004,-118.44921480000001,0.10228026807244398,1
106,03-18-2020,Tarzana,34.171443599999996,-118.54297890000001,0.0,0
107,03-18-2020,Torrance,33.83584920000001,-118.34062879999999,0.03976400370178753,0
108,03-18-2020,Venice,33.995044,-118.4668875,0.43026459526707983,1
109,03-18-2020,Walnut,34.020289399999996,-117.86533859999999,0.0,0
110,03-18-2020,West Adams,34.0294356,-118.35248329999999,0.0,0
111,03-18-2020,West Hills,34.2032325,-118.645476,0.0,0
112,03-18-2020,West Hollywood,34.0923014,-118.36928940000001,0.5471005490277575,1
113,03-18-2020,West Los Angeles,34.0463986,-118.44813500000001,0.0,0
114,03-18-2020,West Vernon,34.007135,-118.22525,0.025620880557004524,0
115,03-18-2020,Westchester,33.9597349,-118.40063219999999,0.05550000744363288,0
116,03-18-2020,Woodland Hills,34.1684364,-118.6058382,0.362164155211489,1
117,03-19-2020,Alhambra,34.093042,-118.12706000000001,0.2008739742859491,1
118,03-19-2020,Arcadia,34.136207500000005,-118.0401497,0.0,0
119,03-19-2020,Baldwin Hills,34.01098870000001,-118.3370709,0.18277472244558954,1
120,03-19-2020,Beverly Hills,34.0696501,-118.3963062,0.0,0
121,03-19-2020,Beverlywood,34.045933399999996,-118.39492,1.0899909133008356,2
122,03-19-2020,Boyle Heights,34.0436892,-118.20976840000002,0.0,0
